guID,Date,Start Time,End Time,Event Name,Location,Category,Host,Event Description
85,7/21/2023,6:00 PM,6:45 PM,Ensemble Stars!! Photo Meet-Up,Photospot B,Photoshoot,N/A,"Calling all Enstars fans! Bring your cosplays, your nuis, or just yourself! Meet up with other fans and talk about your favorite units and idols."
87,7/21/2023,6:15 PM,6:45 PM,Tokyo Ghoul Photo Meet-Up,Photospot D,Photoshoot,N/A,Meet up for cosplayers and/or fans of Tokyo Ghoul~
88,7/21/2023,6:30 PM,7:00 PM,Jujutsu Kaisen Photo Meet-Up,Photospot A,Photoshoot,N/A,All those intrested in or cosplaying from Jujutsu Kaisen meet up for some photos! 
89,7/21/2023,7:00 PM,7:45 PM,Monster High Photo Meet-Up,Photospot B,Photoshoot,N/A,Freaky just got fabulous! Be you! Be unique! Monster high is back!
90,7/21/2023,7:00 PM,7:45 PM,Hell's Paradise (Jigokuraku) Photo Meet-Up,Photospot E,Photoshoot,N/A,Criminals! Executioners! Tensen! Join us for the Hell's Paradise meet-up and photoshoot!
91,7/21/2023,8:00 PM,9:00 PM,Dating Sims Photo Meet-Up,Photospot B,Photoshoot,N/A,"Cosplayer and romance fans, open up your hearts at the Dating Sims Meet up!"
93,7/21/2023,8:00 PM,8:30 PM,Ghost (The Band) Photo Meet-Up,Photospot E,Photoshoot,N/A,Ghost B.C. / Ghost (the band) cosplay and fan meetup. 
95,7/21/2023,8:00 PM,9:00 PM,Final Fantasy Photo Meet-Up,Photospot A,Photoshoot,N/A,All Final Fantasy and games associated with Final Fantasy such as Kingdom Hearts
96,7/21/2023,7:00 PM,7:30 PM,Homestuck Photo Meet-Up,Photospot C,Photoshoot,N/A,Sleepytime Homestuck meet-up! Join us for some group pictures!
97,7/21/2023,1:30 PM,2:30 PM,Marvel vs. DC: Animated Addition,Panel 4,Panel,Sassy Curry,"In a world where media is overly saturated, how can you know where to turn? We'll show you examples of animated comic book fare that are both essential to the overall nerd experience, and those that are better left unseen. Join us as we count down the top 10 animated comic book adaptations brought to us by Marvel and DC."
98,7/21/2023,1:00 PM,2:00 PM,Longsword Demo & Q&A with Pittsburgh Sword Fighters,Hall Stage,Main Event,Pittsburgh Swordfighters,Watch in awe as some of the Pittsburgh Sword Fighter's finest members take the Hall Stage to demonstrate their skills with the longsword. Be sure to bring your burning questions for after the demo!
99,7/21/2023,2:00 PM,3:30 PM,Dance Competition,Main Stage,Main Event,Tekko Staff,"Presented by Stage Uzume, the Tekko Dance Competition is BACK for 2023! We are happy to welcome back seven acts on our stage that will be dancing their hearts out to kpop and jpop hits in order to be crowned a winner! Judges include Tommy Yoo, a local kpop DJ from the area; Lucy Chen, a local kpop and Chinese dance teacher; and Giselle Rosales, a recent graduate of FRESA at Pitt, the University of PIttsburgh's premiere kpop and jpop dance crew. Please come support the wonderful talents on stage!"
100,7/21/2023,6:30 PM,7:30 PM,VIP Rockstar Panel,Main Stage,Main Event,Various Guests,
102,7/21/2023,8:30 PM,9:30 PM,Otaku Underworld,Main Stage,Main Event,Otaku Underworld,
103,7/21/2023,9:30 PM,11:30 PM,Caleb Hyles & Jonathan Young,Main Stage,Main Event,Caleb Hyles & Jonathan Young,
